name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,shared_coauthors
Cheng Zhang,Zicheng Zhang,cheng zhang,zicheng zhang,0.917,0,
Cheng Zhang 0010,Chengyu Zhang 0001,cheng zhang,chengyu zhang,0.917,0,
Cheng Zhang 0010,Zicheng Zhang,cheng zhang,zicheng zhang,0.917,0,
Hongyi Zhang,Hongyu Zhang,hongyi zhang,hongyu zhang,0.917,0,
Hongyi Zhang,Hongyu Zhang 0002,hongyi zhang,hongyu zhang,0.917,0,
Hongyi Zhang 0001,Hongyu Zhang,hongyi zhang,hongyu zhang,0.917,0,
Hongyi Zhang 0001,Hongyu Zhang 0002,hongyi zhang,hongyu zhang,0.917,0,
Hongyu Zhang,Longyu Zhang,hongyu zhang,longyu zhang,0.917,0,
Hongyu Zhang 0002,Longyu Zhang,hongyu zhang,longyu zhang,0.917,0,
Jiyang Zhang 0003,Jiyuan Zhang,jiyang zhang,jiyuan zhang,0.917,0,
Qanjun Zhang,Yanjun Zhang,qanjun zhang,yanjun zhang,0.917,0,
Weijie Zhang,Wenjie Zhang 0001,weijie zhang,wenjie zhang,0.917,0,
Weijie Zhang,Wenjie Zhang 0007,weijie zhang,wenjie zhang,0.917,0,
Wenchi Zhang,Wenhui Zhang,wenchi zhang,wenhui zhang,0.917,0,
Xiaoyi Zhang 0005,Xiaoyu Zhang 0013,xiaoyi zhang,xiaoyu zhang,0.917,0,
Zhenya Zhang,Zhenyu Zhang 0004,zhenya zhang,zhenyu zhang,0.917,0,
Huaijin Wang 0001,Huaimin Wang 0001,huaijin wang,huaimin wang,0.917,0,
Kaixuan Wang,Kaiyuan Wang,kaixuan wang,kaiyuan wang,0.917,0,
Xiaolei Wang,Xiaolin Wang,xiaolei wang,xiaolin wang,0.917,0,
Xiaolin Wang,Xiaoyin Wang,xiaolin wang,xiaoyin wang,0.917,0,
Yuepeng Wang 0001,Yunpeng Wang,yuepeng wang,yunpeng wang,0.917,0,
Haiming Chen 0001,Huaming Chen,haiming chen,huaming chen,0.917,0,
Jianhui Chen,Jinghui Chen,jianhui chen,jinghui chen,0.917,0,
Zhiyang Chen 0004,Zhiyuan Chen 0006,zhiyang chen,zhiyuan chen,0.917,0,
Hucheng Zhou,Husheng Zhou,hucheng zhou,husheng zhou,0.917,0,
